Code_commune_INSEE;Nom_commune;Code_postal;Libelle_acheminement;Ligne_5;coordonnees_gps
01414;SUTRIEU;01260;SUTRIEU;CHARANCIN;45.9506630232, 5.68746147482
01415;TALISSIEU;01510;TALISSIEU;;45.8480243468, 5.61949053703
01419;THOIRY;01710;THOIRY;;46.243919719, 5.96461682999
01423;TOUSSIEUX;01600;TOUSSIEUX;;45.9478092043, 4.80583207499
01425;LA TRANCLIERE;01160;LA TRANCLIERE;;46.0747014809, 5.31394582841
01426;VAL REVERMONT;01370;VAL REVERMONT;PRESSIAT;46.2853749129, 5.32614321781
01427;TREVOUX;01600;TREVOUX;;45.9478092043, 4.80583207499
01428;VALEINS;01140;VALEINS;;46.1670266686, 4.8459954399
01431;VAUX EN BUGEY;01150;VAUX EN BUGEY;;45.8772713832, 5.32595701713
01434;VERSAILLEUX;01330;VERSAILLEUX;;45.9976909227, 5.02164504767
01436;VESANCY;01170;VESANCY;;46.3286268081, 6.03059799732
01437;VESCOURS;01560;VESCOURS;;46.44295833, 5.12304891736
01442;VIEU;01260;VIEU;;45.9506630232, 5.68746147482
01446;VILLENEUVE;01480;VILLENEUVE;;46.0178170669, 4.81482624573
01447;VILLEREVERSURE;01250;VILLEREVERSURE;;46.2066710432, 5.38605889851
01450;VILLIEU LOYES MOLLON;01800;VILLIEU LOYES MOLLON;MOLLON;45.8984701804, 5.16340257624
01452;VIRIEU LE GRAND;01510;VIRIEU LE GRAND;;45.8480243468, 5.61949053703
01457;VONNAS;01540;VONNAS;;46.2212986861, 4.98198011208
40237;PRECHACQ LES BAINS;40465;PRECHACQ LES BAINS;;43.8185485328, -0.958961434744
40253;ST CRICQ CHALOSSE;40700;ST CRICQ CHALOSSE;;43.6284704452, -0.593663357831
40255;ST CRICQ VILLENEUVE;40190;ST CRICQ VILLENEUVE;;43.871288496, -0.280067708778
40259;ST GEIN;40190;ST GEIN;;43.871288496, -0.280067708778
40261;ST GEOURS DE MAREMNE;40230;ST GEOURS DE MAREMNE;;43.6512519918, -1.29308323457
40267;ST JUSTIN;40240;ST JUSTIN;;44.039693105, -0.124217127832
40273;ST MARTIN DE SEIGNANX;40390;ST MARTIN DE SEIGNANX;;43.5480174741, -1.31735652925
40274;ST MARTIN D ONEY;40090;ST MARTIN D ONEY;;43.9330733573, -0.526576956114
40279;ST PAUL LES DAX;40990;ST PAUL LES DAX;;43.7691479541, -1.07410585262
40282;ST SEVER;40500;ST SEVER;;43.7482690127, -0.55557337698
40286;SAMADET;40320;SAMADET;;43.6361966874, -0.398205389368
40302;SINDERES;40110;SINDERES;;44.0292859591, -0.886711370847
40319;TRENSACQ;40630;TRENSACQ;;44.158641182, -0.72802164635
40321;URGONS;40320;URGONS;;43.6361966874, -0.398205389368
40323;VERT;40420;VERT;;44.093205309, -0.572816204392
40326;VIELLE ST GIRONS;40560;VIELLE ST GIRONS;;43.9396188358, -1.32531698317
40328;VIEUX BOUCAU LES BAINS;40480;VIEUX BOUCAU LES BAINS;;43.7875634884, -1.396724511
40330;VILLENAVE;40110;VILLENAVE;;44.0292859591, -0.886711370847
40331;VILLENEUVE DE MARSAN;40190;VILLENEUVE DE MARSAN;;43.871288496, -0.280067708778
41001;AMBLOY;41310;AMBLOY;;47.6757270019, 0.971700529212
